[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /css/*filepath            --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (1 handlers)
[GIN-debug] HEAD   /css/*filepath            --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (1 handlers)
[GIN-debug] Loaded HTML Templates (4): 
	- 
	- footer.html
	- header.html
	- index.html

[GIN-debug] GET    /api/videos               --> main.main.func1 (5 handlers)
[GIN-debug] POST   /api/videos               --> main.main.func2 (5 handlers)
[GIN-debug] GET    /view/videos              --> Desktop/gin_gonic/video1/controller.VideoController.ShowAll-fm (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Environment variable PORT is undefined. Using port :8080 by default
[GIN-debug] Listening and serving HTTP on :8080
::1 - [15 Oct 22 04:58 +05] POST /api/videos 200 2.05925ms 
::1 - [15 Oct 22 04:59 +05] POST /api/videos 400 459.792µs 
::1 - [15 Oct 22 04:59 +05] POST /api/videos 200 249.666µs 
::1 - [15 Oct 22 05:01 +05] POST /api/videos 200 533.875µs 
::1 - [15 Oct 22 05:02 +05] POST /api/videos 200 439.208µs 
::1 - [15 Oct 22 05:02 +05] GET /api/videos 200 1.16775ms 
::1 - [15 Oct 22 05:03 +05] GET /view/videos 401 73.416µs 
::1 - [15 Oct 22 05:03 +05] GET /view/videos 401 8.208µs 
::1 - [15 Oct 22 05:03 +05] GET /view/videos 401 4.584µs 
::1 - [15 Oct 22 05:03 +05] GET /view/videos 200 3.743084ms 
::1 - [15 Oct 22 05:03 +05] GET /favicon.ico 401 5.167µs 
::1 - [15 Oct 22 05:03 +05] GET /favicon.ico 401 3.084µs 
::1 - [15 Oct 22 05:04 +05] POST /api/videos 200 615.583µs 
::1 - [15 Oct 22 05:04 +05] GET /view/videos 200 2.008416ms 
::1 - [15 Oct 22 05:05 +05] POST /api/videos 200 913.083µs 
::1 - [15 Oct 22 05:05 +05] GET /view/videos 200 2.563917ms 
::1 - [15 Oct 22 05:06 +05] GET /view/videos 200 2.046459ms 
::1 - [15 Oct 22 05:06 +05] GET /view/videos 200 903.583µs 
::1 - [15 Oct 22 05:12 +05] GET /view/videos 401 509.25µs 
::1 - [15 Oct 22 05:12 +05] GET /view/videos 200 3.095042ms 
::1 - [15 Oct 22 05:12 +05] GET /favicon.ico 401 5.292µs 
::1 - [15 Oct 22 05:12 +05] GET /favicon.ico 404 244.542µs 
